#	$Id: observatories.dat,v 2.0 2001/09/14 19:05:06 garyb Exp $	
# File with data on observatories
500    0:00:00     0:00:00    -6378137.  Geocenter
001 +359:50:44.88 +50:51:48.82  198.8 Crowborough
002 +359:22:48.00 +51:27:56.39 2973.0 Rayleigh
003 +356:06:00.00 +43:27:30.30 2395.0 Montpellier
004 +358:32:15.00 +43:25:12.42  105.5 Toulouse <http://www.obs-mip.fr/>
005 +357:46:08.40 +48:36:51.33   86.9 Meudon
006 +357:52:32.99 +41:13:39.69  301.9 Fabra Observatory, Barcelona
008 +356:57:52.20 +36:37:01.37  255.8 Algiers-Bouzaréah
010 +353:04:23.88 +43:33:24.26 1199.4 Caussols
012 +355:38:30.44 +50:36:35.92   36.1 Uccle <http://www.astro.oma.be/>
016 +354:00:38.52 +47:03:29.26  217.4 Besançon <http://www.obs-besancon.fr/Welcome_ang.html>
017 +353:09:02.74 +49:58:19.12  434.3 Hoher List <http://www.astro.uni-bonn.de/~webaiub/english/institute_hoher_list.php>
019 +353:02:33.00 +46:48:19.63  439.7 Neuchâtel
020 +352:41:58.56 +43:31:45.65  319.2 Nice <http://www.oca.eu/accueil/english/>
021 +351:36:52.20 +48:50:00.27   53.5 Karlsruhe <http://www.avka.de>
022 +352:13:30.72 +44:50:43.43  584.6 Pino Torinese <http://www.to.astro.it/>
023 +351:44:15.00 +49:53:30.03  141.9 Wiesbaden <http://www.urania-wiesbaden.de/>
024 +351:16:42.24 +49:12:30.15  498.6 Heidelberg-Königstuhl <http://www.lsw.uni-heidelberg.de/>
025 +350:48:12.60 +48:35:30.13  264.1 Stuttgart <http://www.sternwarte.de/>
026 +352:32:05.60 +46:41:06.26  826.5 Berne-Zimmerwald <http://www.aiub.unibe.ch/content/zimmerwald/index_eng.html>
027 +350:48:31.68 +45:16:26.15   72.6 Milan
028 +350:03:49.32 +49:36:04.30  115.6 Würzburg <http://www.sternwarte-wuerzburg.de/>
030 +348:44:43.94 +43:33:30.38   94.5 Arcetri Observatory, Florence
031 +348:48:36.54 +50:11:17.69  558.2 Sonneberg <http://www.stw.tu-ilmenau.de/observatory/observatory.html>
032 +348:25:01.38 +50:44:12.51   81.9 Jena <http://www.astro.uni-jena.de/>
033 +348:17:19.54 +50:47:30.37  278.8 Karl Schwarzschild Observatory, Tautenburg <http://www.tls-tautenburg.de/>
034 +347:32:51.14 +41:43:52.34   31.5 Monte Mario Observatory, Rome
036 +347:20:58.56 +41:33:22.92  361.1 Castel Gandolfo
037 +346:16:00.12 +42:27:56.71  356.4 Collurania Observatory, Teramo
040 +346:16:12.72 +50:50:34.23   91.3 Lohrmann Institute, Dresden <http://astro.geo.tu-dresden.de/>
041 +348:37:09.01 +47:04:34.68  540.8 Innsbruck
042 +346:56:08.59 +52:11:36.31   22.2 Potsdam <http://www.aip.de/>
043 +348:28:17.04 +45:40:13.27  989.5 Asiago Astrophysical Observatory, Padua <http://www.pd.astro.it/Asiago/>
044 +345:44:38.76 +40:40:21.41   75.6 Capodimonte Observatory, Naples
045 +343:39:39.60 +48:02:26.33  207.2 Vienna (since 1879) <http://astro.univie.ac.at/?L=3D2>
046 +345:42:42.84 +48:40:21.22  991.0 Kleť Observatory, České Budějovice <http://www.klet.org/>
047 +343:07:18.48 +52:12:44.41   21.8 Poznań
048 +344:09:33.12 +49:59:16.56  200.8 Hradec Králové <http://www.astrohk.cz/indexen.php>
053 +341:02:08.88 +47:18:28.33  420.5 Konkoly Observatory, Budapest (since 1934) <http://www.konkoly.hu/>
054 +348:20:04.56 +55:26:32.47   14.3 Brorfelde
055 +340:02:25.44 +49:52:29.96  113.1 Cracow
056 +339:45:18.00 +48:59:54.20 1731.2 Skalnaté Pleso
057 +339:29:12.12 +44:36:40.48  214.7 Belgrade
059 +339:46:47.64 +49:00:20.15 2558.5 Lomnický Štít
060 +338:34:48.00 +51:54:11.88   67.5 Warsaw-Ostrowik
061 +337:42:05.40 +48:26:33.05  111.7 Uzhgorod
065 +347:22:12.00 +47:40:34.26 8614.9 Traunstein
066 +336:16:54.59 +37:47:08.74   26.1 Athens <http://www.noa.gr/indexen.html>
067 +335:58:13.08 +49:38:34.91  280.6 Lvov University Observatory
068 +335:59:08.88 +49:38:48.14  269.9 Lvov Polytechnic Institute
069 +335:35:44.88 +56:35:47.33   12.5 Baldone <http://www.astr.lu.lv/Facilities_en.asp>
070 +334:42:48.60 +54:30:04.94   36.5 Vilnius (before 1939)
071 +335:15:43.85 +41:30:07.57 1669.3 NAO Rozhen, Smolyan <http://www.astro.bas.bg/rozhen.html>
073 +333:54:11.88 +44:13:16.48   14.7 Bucharest
074 +333:35:39.12 -28:52:30.51 1355.7 Boyden Observatory, Bloemfontein
075 +333:16:42.24 +58:12:27.50    7.8 Tartu <http://www.aai.ee/>
076 +332:07:23.52 -25:37:20.72 1189.3 Johannesburg-Hartbeespoort
077 +331:58:14.88 -26:02:06.75 1717.7 Yale-Columbia Station, Johannesburg
078 +331:55:30.00 -26:01:47.39 1778.7 Johannesburg
